stand,plot,year,total_volume,total_mass,total_cover,total_area
BRNA,16,1977,1481.92,278.94,28.31,14456.26
BRNA,4,1977,1057.66,160.78,30.81,9888.483330000001
BRNA,7,1977,766.54,158.33,25.36,8448.79
BRNA,9,1977,796.50,150.63,24.696830000000002,7655.7620099999995
RS01,13,1995,420.80334000000005,163.71,3.90,3333.23
RS01,5,1995,134.90,32.86,5.17,2042.89
RS01,6,1995,217.17,36.76,6.80,2268.85
RS01,9,1995,240.64665000000002,63.74,5.30,1835.26
RS02,1,1977,335.73,66.43,10.21,3636.46
RS02,14,1977,60.76,16.03,0.8453700000000001,543.71
RS02,15,1977,549.64,117.60838000000001,17.71,5328.0143800000005
RS02,8,1977,618.29,109.09,18.74,4978.11
RS02,9,1977,846.77,171.34,25.68,6096.69
RS03,1,1977,995.64,219.38,20.99,8272.35
RS03,12,1977,1207.93,222.76,26.16,7937.56
RS03,14,1977,962.47,206.38,21.72,6807.30
RS03,5,1977,725.93,122.65,17.64,5515.1303499999995
RS04,1,1982,392.06,90.23713000000001,8.48,4106.31
RS04,2,1982,167.07,40.37,4.82,2089.99
RS04,3,1982,921.23,171.30,14.12,5796.84
RS04,4,1982,747.2143199999999,176.38,10.76,5421.97
RS05,1,1982,192.90,37.82,4.16,1814.19
RS05,2,1982,399.89,98.94,9.86,3216.78
RS05,3,1982,369.95,72.51,8.27,2766.96
RS05,4,1982,0.10,0.01,0.00,4.55
RS05,4,1989,84.57,18.50,2.7617599999999998,873.28
RS07,1,1982,342.58,64.51,9.64,3324.10
RS07,2,1982,430.01,86.47,10.89,3651.68
RS07,3,1982,333.70,65.75,7.767659999999999,2611.29
RS07,4,1982,694.51,196.72141000000002,9.60,5724.41
RS08,1,1982,571.29,169.51,5.40,3497.15
RS08,2,1982,403.53,93.13,8.04,3208.80
RS08,3,1982,497.04,81.05,11.23,3603.10
RS08,4,1982,572.48,155.82,5.40,3236.97
RS10,1,1982,633.22,137.96,14.21,5065.09
RS10,2,1982,129.32874999999999,25.47,5.29,1802.0747099999999
RS10,3,1982,223.18,40.28,8.24,3252.05
RS10,4,1982,486.67,93.21,13.14,5213.06
RS12,1,1982,1235.89,370.00,7.71,7296.95
RS12,2,1982,512.70,124.15,8.85,3996.25
RS12,3,1982,347.88,76.83,7.62,2530.12
RS12,4,1982,352.14,75.26,6.22,2774.1881000000003
RS14,1,1982,129.52,32.93,5.33,2570.30
RS14,2,1982,112.21,27.63,6.42,2045.23
RS14,3,1982,154.46,40.672129999999996,6.3476799999999995,2744.77
RS14,4,1982,222.21,55.23,9.19,3315.7215499999998
RS15,1,1982,1564.17,491.94987000000003,7.75,8335.52
RS15,2,1982,362.02,96.07,5.08,1917.03
RS15,3,1982,122.50,20.60,4.68,1663.53
RS15,4,1982,829.94,181.25,9.57,4459.86
RS16,1,1995,214.50,57.97,4.82,2060.67
RS16,2,1995,664.43,211.82,3.44,3202.81
RS16,3,1995,320.91,60.57,8.23,2680.96
RS16,4,1995,245.61,52.529039999999995,5.19,2049.92
RS17,1,1982,503.44449000000003,131.67,8.97,3300.82
RS17,2,1982,480.09,94.63,11.70,4358.07
RS17,3,1982,1471.21,419.45,11.21,9254.83
RS17,4,1982,548.16,133.99,8.49,3618.22
RS18,1,1982,330.06,62.705929999999995,7.43,2905.52
RS18,2,1982,638.77,133.29,10.71,4856.92
RS18,3,1982,315.51,65.00,6.745909999999999,2932.79
RS18,4,1982,863.34,219.74,16.16,7108.78
RS20,11,1995,98.75,29.24,1.28,957.51
RS20,14,1995,162.94,48.98,3.28,1564.48
RS20,15,1995,197.46,60.05,5.47,1697.18
RS20,2,1995,9.15,1.41,0.01,150.54
RS22,1,1995,712.10,214.94,7.64,6447.80
RS22,13,1995,1072.59,304.11,12.10,7569.58
RS22,4,1995,479.44,142.02,10.83,4543.75
RS22,8,1995,753.02,242.25,15.33,6684.37
RS23,12,1995,809.73,214.90,12.42,5810.3210899999995
RS23,2,1995,679.67,165.93,10.76,4969.06
RS23,3,1995,391.40,56.97,8.84,2892.27
RS23,6,1995,713.7340300000001,192.35,7.15,4856.60
RS24,12,1977,628.19,110.45,15.96,5780.45
RS24,14,1977,555.46,110.78,14.11,5371.83
RS24,2,1977,594.27,107.62,16.93,5846.57
RS24,4,1977,662.99,98.70,15.40,4891.1021900000005
RS26,1,1977,371.16664000000003,77.43,12.06,5142.52
RS26,16,1977,425.00,86.97,13.19,5995.36
RS26,5,1977,623.02,94.45,17.74,5679.53
RS26,9,1977,411.46,70.64,15.24,4634.08
RS27,12,1978,355.94,68.58,12.21,3766.6910900000003
RS27,15,1978,861.02,160.60902000000002,24.89,7409.599450000001
RS27,2,1978,615.28,140.99236000000002,12.52,4047.40
RS27,20,1978,767.72,134.47,13.75,5062.26
RS27,23,1978,558.81,92.61,15.82,4960.78
