DATACODE,CARDTYPE,STUDYID,YEAR,MONTH,STAND,PLOT,LOGNUM,SPECIES,DECAY,POSITION,DIAM1A,DIAM1B,DIAM2A,DIAM2B,DIAM3A,DIAM3B,LENGTH,BARKCOV,HOLLOW,CWDSRCE,STDIAMCORR
TD012,1,HSGY,1978,9,HR01,   2,1,PISI,4,L,65,57,,,45,40,5.4,,1,,
TD012,1,HSGY,1978,9,HR01,   2,2,TSHE,2,L,35,,,,53,,22.1,,1,,
TD012,1,HSGY,1978,9,HR01,   2,3,PISI,3,L,54,,,,54,,6.7,,1,,
TD012,1,HSGY,1978,9,HR01,   2,4,TSHE,3,L,40,37,,,45,30,3.3,,1,,
TD012,1,HSGY,1978,9,HR01,   2,5,PISI,3,L,100,,,,55,,21.2,,1,,
TD012,1,HSGY,1978,9,HR01,   2,6,PISI,5,L,50,35,,,50,35,4.2,,1,,
TD012,1,HSGY,1978,9,HR01,   2,7,PISI,2,L,55,,,,63,,10.0,,1,,
TD012,1,HSGY,1978,9,HR01,   2,8,TSHE,4,L,50,35,,,72,36,7.0,,1,,
TD012,1,HSGY,1978,9,HR01,   2,9,PISI,4,L,50,43,,,50,43,2.3,,1,,
TD012,1,HSGY,1978,9,HR01,   2,10,TSHE,5,L,40,25,,,40,25,2.1,,1,,
TD012,1,HSGY,1978,9,HR01,   2,11,PISI,3,L,42,,,,50,,11.0,,1,,
TD012,1,HSGY,1978,9,HR01,   2,12,TSHE,4,L,35,25,,,30,,3.8,,1,,
TD012,1,HSGY,1978,9,HR01,   2,13,PISI,4,L,49,44,,,50,,3.7,,1,,
TD012,1,HSGY,1978,9,HR01,   8,1,TSHE,4,L,28,,,,60,,20.1,,1,,
TD012,1,HSGY,1978,9,HR01,   8,2,TSHE,3,L,24,,,,25,,13.7,,1,,
TD012,1,HSGY,1978,9,HR01,   8,3,UNKN,4,L,32,,,,32,,2.9,,1,,
TD012,1,HSGY,1978,9,HR01,   8,4,TSHE,3,L,42,,,,42,,15.9,,1,,
TD012,1,HSGY,1978,9,HR01,   8,5,TSHE,2,L,8,,,,24,,6.9,,1,,
TD012,1,HSGY,1978,9,HR01,   8,6,TSHE,2,L,105,,,,105,,2.3,,1,,
TD012,1,HSGY,1978,9,HR01,   8,7,UNKN,3,L,19,,,,26,,2.7,,1,,
TD012,1,HSGY,1978,9,HR01,   8,8,TSHE,4,L,42,,,,42,,2.2,,1,,
TD012,1,HSGY,1978,9,HR01,   8,9,UNKN,5,L,22,,,,35,,4.9,,1,,
TD012,1,HSGY,1978,9,HR01,   8,10,UNKN,3,L,20,,,,20,,7.2,,1,,
TD012,1,HSGY,1978,9,HR01,   8,11,UNKN,4,L,22,,,,22,,2.9,,1,,
TD012,1,HSGY,1978,9,HR01,   8,12,TSHE,2,L,30,,,,30,,1.8,,1,,
TD012,1,HSGY,1978,9,HR01,   8,13,TSHE,5,L,35,,,,40,,4.1,,1,,
TD012,1,HSGY,1978,9,HR01,   8,14,TSHE,3,L,24,,,,27,,5.3,,1,,
TD012,1,HSGY,1978,9,HR01,   8,15,UNKN,4,L,26,,,,36,,11.7,,1,,
TD012,1,HSGY,1978,9,HR01,   8,16,UNKN,3,L,25,,,,25,,1.6,,1,,
TD012,1,HSGY,1978,9,HR01,   8,17,PISI,2,L,78,,,,100,,20.8,,1,,
TD012,1,HSGY,1978,9,HR01,   8,18,TSHE,3,L,29,,,,32,,11.0,,1,,
TD012,1,HSGY,1978,9,HR01,   8,19,TSHE,2,L,48,,,,70,,20.7,,1,,
TD012,1,HSGY,1978,9,HR01,   8,20,TSHE,3,L,25,,,,32,,7.8,,1,,
TD012,1,HSGY,1978,9,HR01,   8,21,TSHE,2,L,38,,,,35,,4.0,,1,,
TD012,1,HSGY,1978,9,HR01,   8,22,UNKN,4,L,110,,,,100,,8.4,,1,,
TD012,1,HSGY,1978,9,HR01,   8,23,UNKN,3,L,40,,,,40,,7.3,,1,,
TD012,1,HSGY,1978,9,HR01,   8,1,TSHE,2,S,45,,,,,,6.0,,1,,
TD012,1,HSGY,1978,9,HR01,   8,2,TSHE,3,S,120,,,,,,3.7,,1,,
TD012,1,HSGY,1978,9,HR01,   8,3,UNKN,3,S,57,,,,,,6.1,,1,,
TD012,1,HSGY,1978,9,HR01,  12,1,TSHE,3,L,10,,,,44,39,2.5,,1,,
TD012,1,HSGY,1978,9,HR01,  12,2,PSME,4,L,60,,,,68,70,9.7,,1,,
TD012,1,HSGY,1978,9,HR01,  12,3,PSME,3,L,35,,,,52,77,9.8,,1,,
TD012,1,HSGY,1978,9,HR01,  12,4,TSHE,3,L,18,15,,,25,20,7.9,,1,,
TD012,1,HSGY,1978,9,HR01,  12,5,PSME,3,L,9,8,,,28,30,10.1,,1,,
TD012,1,HSGY,1978,9,HR01,  12,6,TSHE,3,L,22,25,,,35,38,12.0,,1,,
TD012,1,HSGY,1978,9,HR01,  12,7,TSHE,5,L,20,,,,46,40,7.6,,1,,
TD012,1,HSGY,1978,9,HR01,  12,8,TSHE,2,L,56,52,,,40,60,19.0,,1,,
TD012,1,HSGY,1978,9,HR01,  12,9,TSHE,3,L,25,30,,,58,60,25.0,,1,,
TD012,1,HSGY,1978,9,HR01,  12,10,TSHE,5,L,10,,,,18,15,4.8,,1,,
TD012,1,HSGY,1978,9,HR01,  12,11,TSHE,4,L,19,18,,,40,15,6.1,,1,,
TD012,1,HSGY,1978,9,HR01,  12,12,PSME,4,L,32,30,,,60,50,5.9,,1,,
TD012,1,HSGY,1978,9,HR01,  12,13,UNKN,3,L,20,3,,,45,48,4.3,,1,,
TD012,1,HSGY,1978,9,HR01,  12,14,TSHE,3,L,23,,,,35,,6.5,,1,,
TD012,1,HSGY,1978,9,HR01,  12,15,TSHE,3,L,30,17,,,42,45,4.1,,1,,
TD012,1,HSGY,1978,9,HR01,  12,16,TSHE,3,L,12,13,,,20,15,3.6,,1,,
TD012,1,HSGY,1978,9,HR01,  12,17,PISI,5,L,25,20,,,25,20,1.4,,1,,
