DATACODE,CARDTYPE,STUDYID,SPECIES,POSITION,DECAY,WDENSITY,WOOD_N,WOOD_P,WOOD_K,WOOD_CA,WOOD_MG,WOOD_MN,WOOD_NA,WOOD_S,BDENSITY,BARKC,BARKT,BARK_N,BARK_P,BARK_K,BARK_CA,BARK_MG,BARK_MN,BARK_NA,BARK_S,SOURCE
TD012,2,DFGY,PSME,L,1,0.450,900,40,155,1400,70.00,55.00,24.00,,0.438,100,10,900,40,155,1400,70.00,55.00,24.00,,"5,7,9"
TD012,2,DFGY,PSME,L,2,0.341,1000,39,148,1200,82.00,61.00,30.00,,0.438,90,10,1000,39,148,1200,82.00,61.00,30.00,,"5,7,9"
TD012,2,DFGY,PSME,L,3,0.277,1000,41,141,1100,123.00,158.00,39.00,,0.438,60,10,1000,41,141,1100,123.00,158.00,39.00,,"5,7,9"
TD012,2,DFGY,PSME,L,4,0.137,2400,111,171,1700,252.00,52.00,50.00,,0.438,20,10,2400,111,171,1700,252.00,52.00,50.00,,"5,7,9"
TD012,2,DFGY,PSME,L,5,0.148,4467,267,310,3000,656.00,56.00,193.00,,0.438,5,10,4467,267,310,3000,656.00,56.00,193.00,,"5,7,9"
TD012,2,DFGY,THPL,L,1,0.318,1100,48,279,1600,93.00,31.00,31.00,,0.333,100,3,1100,48,279,1600,93.00,31.00,31.00,,"5,7,9"
TD012,2,DFGY,THPL,L,2,0.259,1400,51,313,1700,147.00,24.00,24.00,,0.333,90,3,1400,51,313,1700,147.00,24.00,24.00,,"5,7"
TD012,2,DFGY,THPL,L,3,0.248,1700,78,178,1600,134.00,50.00,31.00,,0.333,15,3,1700,78,178,1600,134.00,50.00,31.00,,"5,7"
TD012,2,DFGY,THPL,L,4,0.154,2100,107,283,3100,323.00,80.00,42.00,,0.333,0,3,2100,107,283,3100,323.00,80.00,42.00,,"5,7"
TD012,2,DFGY,THPL,L,5,0.143,4467,267,310,3000,656.00,56.00,193.00,,0.333,0,3,4467,267,310,3000,656.00,56.00,193.00,,"5,7"
TD012,2,DFGY,TSHE,L,1,0.376,800,93,760,1400,146.00,250.00,18.00,,0.333,100,5,800,93,760,1400,146.00,250.00,18.00,,"5,7,9"
TD012,2,DFGY,TSHE,L,2,0.295,1100,59,203,1300,86.00,115.00,22.00,,0.415,90,5,1100,59,203,1300,86.00,115.00,22.00,,"5,7,9"
TD012,2,DFGY,TSHE,L,3,0.242,1200,88,355,1700,201.00,291.00,42.00,,0.415,60,5,1200,88,355,1700,201.00,291.00,42.00,,"5,7,9"
TD012,2,DFGY,TSHE,L,4,0.146,2500,135,208,2100,213.00,62.00,44.00,,0.415,20,5,2500,135,208,2100,213.00,62.00,44.00,,"5,7,9"
TD012,2,DFGY,TSHE,L,5,0.142,4467,267,310,3000,656.00,56.00,193.00,,0.415,5,5,4467,267,310,3000,656.00,56.00,193.00,,"5,7,9"
TD012,2,DFGY,UNKN,L,1,0.450,900,40,155,1400,70.00,55.00,24.00,,0.438,100,10,900,40,155,1400,70.00,55.00,24.00,,"5,7,9"
TD012,2,DFGY,UNKN,L,2,0.341,1000,39,148,1200,82.00,61.00,30.00,,0.438,90,10,1000,39,148,1200,82.00,61.00,30.00,,"5,7,9"
TD012,2,DFGY,UNKN,L,3,0.277,1000,41,141,1100,123.00,158.00,39.00,,0.438,60,10,1000,41,141,1100,123.00,158.00,39.00,,"5,7,9"
TD012,2,DFGY,UNKN,L,4,0.137,2400,111,171,1700,252.00,52.00,50.00,,0.438,20,10,2400,111,171,1700,252.00,52.00,50.00,,"5,7,9"
TD012,2,DFGY,UNKN,L,5,0.148,4467,267,310,3000,656.00,56.00,193.00,,0.438,5,10,4467,267,310,3000,656.00,56.00,193.00,,"5,7,9"
TD012,2,HSGY,PISI,L,1,0.434,760,100,160,970,120.00,,50.00,,0.538,100,2,760,100,160,970,120.00,,50.00,,"6,7,8"
TD012,2,HSGY,PISI,L,2,0.301,800,80,220,840,110.00,,170.00,,0.538,100,2,800,80,220,840,110.00,,170.00,,"6,7,8"
TD012,2,HSGY,PISI,L,3,0.284,1020,83,90,1090,120.00,,40.00,,0.538,50,2,1020,83,90,1090,120.00,,40.00,,"6,7,8"
