DATACODE,CARDTYPE,STUDYID,STAND,PLOT,YEAR,SPECIES,DECAY,POSITION,WVOL,BVOL,TVOL,WMASS,BMASS,TMASS,PCOVER,SURFAREA,N,P,K,CA,MG,MN,NA,S
TD012,4,ALCO,CH11,   1,1996,ALRU,1,L,1.23532,0.28976,1.52511,0.55589,0.12692,0.68281,0.15870,62.41598,0.61453,0.02731,0.10583,0.95594,0.04780,0.03755,0.01639,
TD012,4,ALCO,CH11,   1,1996,ALRU,1,S,4.61293,1.08205,5.69499,2.07582,0.47394,2.54975,0.00756,198.79448,2.29478,0.10199,0.39522,3.56965,0.17848,0.14023,0.06119,
TD012,4,ALCO,CH11,   1,1996,ALRU,2,L,1.92015,0.39859,2.31875,0.65477,0.17459,0.82936,0.22131,75.46203,0.82936,0.03234,0.12275,0.99522,0.06801,0.05060,0.02488,
TD012,4,ALCO,CH11,   1,1996,ALRU,2,S,0.57819,0.12002,0.69821,0.19716,0.05257,0.24974,0.00157,22.23646,0.24974,0.00974,0.03696,0.29968,0.02048,0.01523,0.00749,
TD012,4,ALCO,CH11,   1,1996,ALRU,3,L,4.92283,0.64850,5.57131,1.36362,0.28405,1.64767,0.47055,165.59001,1.64767,0.06756,0.23233,1.81241,0.20267,0.26033,0.06425,
TD012,4,ALCO,CH11,   1,1996,ALRU,3,S,0.61003,0.08036,0.69039,0.16898,0.03520,0.20418,0.00243,12.29856,0.20418,0.00837,0.02879,0.22459,0.02511,0.03226,0.00796,
TD012,4,ALCO,CH11,   1,1996,ALRU,4,L,0.51801,0.02136,0.53936,0.07097,0.00936,0.08032,0.06029,21.90808,0.19277,0.00891,0.01373,0.13655,0.02024,0.00417,0.00402,
TD012,4,ALCO,CH11,   1,1996,PISI,1,L,0.72263,0.02979,0.75243,0.31362,0.01603,0.32966,0.09618,43.71072,0.25053,0.03296,0.05274,0.31976,0.03956,,0.01648,
TD012,4,ALCO,CH11,   1,1996,PISI,1,S,3.30337,0.13622,3.43956,1.43364,0.07329,1.50695,0.00717,177.93862,1.14527,0.15070,0.24110,1.46174,0.18084,,0.07534,
TD012,4,ALCO,CH11,   1,1996,PISI,2,L,4.16884,0.17189,4.34075,1.25481,0.09248,1.34730,0.40165,155.85645,1.07784,0.10779,0.29639,1.13174,0.14820,,0.22905,
TD012,4,ALCO,CH11,   1,1996,PISI,2,S,0.61380,0.02531,0.63910,0.18476,0.01362,0.19837,0.00182,18.51820,0.15870,0.01587,0.04365,0.16663,0.02182,,0.03372,
TD012,4,ALCO,CH11,   1,1996,PISI,3,L,3.29186,0.06682,3.35872,0.93489,0.03596,0.97084,0.37860,153.80945,0.99027,0.08058,0.08737,1.05822,0.11651,,0.03885,
TD012,4,ALCO,CH11,   1,1996,PISI,4,L,0.51796,0.00208,0.52003,0.08287,0.00112,0.08400,0.06398,27.31217,0.19150,0.01352,0.02687,0.12010,0.02184,,0.00756,
TD012,4,ALCO,CH11,   1,1996,PSME,2,L,0.75456,0.15664,0.91120,0.25731,0.06861,0.32592,0.06705,24.77280,0.32592,0.01271,0.04824,0.39110,0.02673,0.01988,0.00978,
TD012,4,ALCO,CH11,   1,1996,PSME,2,S,2.24197,0.46540,2.70737,0.76451,0.20384,0.96836,0.00640,54.98500,0.96836,0.03777,0.14332,1.16203,0.07940,0.05907,0.02905,
TD012,4,ALCO,CH11,   1,1996,PSME,3,L,1.86399,0.24555,2.10954,0.51632,0.10755,0.62388,0.17347,83.56776,0.62388,0.02558,0.08797,0.68626,0.07674,0.09857,0.02433,
TD012,4,ALCO,CH11,   1,1996,PSME,4,L,42.04308,1.73356,43.77664,5.75990,0.75929,6.51920,0.92741,288.39834,15.64607,0.72363,1.11478,11.08264,1.64285,0.33900,0.32596,
TD012,4,ALCO,CH11,   1,1996,PSME,4,S,15.43065,0.63625,16.06690,2.11400,0.27868,2.39268,0.03213,70.62375,5.74242,0.26559,0.40915,4.06755,0.60295,0.12442,0.11963,
TD012,4,ALCO,CH11,   1,1996,TSHE,1,L,2.58623,0.22001,2.80624,0.96725,0.09130,1.05856,0.16774,62.74980,1.03738,0.29005,1.19617,1.54550,0.14820,,0.04234,
TD012,4,ALCO,CH11,   1,1996,TSHE,2,L,0.14139,0.01203,0.15342,0.04539,0.00499,0.05038,0.02197,8.95746,0.06851,0.00856,0.04534,0.07254,0.00705,,0.00252,
TD012,4,ALCO,CH11,   1,1996,UNKN,4,L,7.50593,0.30949,7.81542,1.02831,0.13556,1.16387,0.23468,67.62971,2.79329,0.12919,0.19902,1.97858,0.29330,0.06052,0.05819,
TD012,4,ALCO,CH15,   1,1996,ALRU,1,L,1.22924,0.28834,1.51759,0.55317,0.12629,0.67946,0.13754,46.73592,0.61151,0.02718,0.10532,0.95124,0.04756,0.03737,0.01631,
TD012,4,ALCO,CH15,   1,1996,ALRU,1,S,5.94046,1.39344,7.33391,2.67321,0.61032,3.28354,0.00875,219.06453,2.95518,0.13135,0.50895,4.59695,0.22985,0.18060,0.07880,
TD012,4,ALCO,CH15,   1,1996,ALRU,2,L,2.63850,0.54771,3.18619,0.89973,0.23989,1.13962,0.26018,87.33682,1.13962,0.04445,0.16866,1.36757,0.09344,0.06952,0.03419,
