burn,site,type,moisture,elevation,tree.sev.rank,%Can.cons,%Standing,CBI.Over,BS.density,BS.ba,BS.stg.ba,BS.ntree,BS.nstand,BS.npixel,%viable,#viable/m2,total/m2,log(#viable),log(#total)
TC,1,int,6,600,1,73,0.88,1.84,6000,1.4,1.235410588,1,2,88,0.00,0.00,3.47,0.00,0.65
TC,4,int,6,697,1,66,0.93,2.02,15200,13.8,12.84809834,0,1,32,0.16,2.67,19.76,0.56,1.32
TC,8,int,5,653,4,98,0.91,3,7500,4.0,3.614454545,3,3,136,0.04,0.80,9.62,0.26,1.03
TC,10,int,5,722,1,76,0.56,1.9,7667,3.7,2.044579535,0,0,115,0.18,2.58,14.16,0.55,1.18
TC,13,treeline,2,1022,3,67,0.52,2.18,4200,11.1,5.804614095,7,7,32,0.00,0.00,9.08,0.00,1.00
TC,14,treeline,3,985,3,83,0.42,1.98,4000,0.6,0.269409721,4,4,148,0.02,1.34,37.93,0.37,1.59
TC,19,int,2,890,4,87,0.90,2.96,4833,17.8,15.98584296,6,7,586,0.01,0.27,12.55,0.10,1.13
TC,23,int,3,870,4,89,0.48,2.96,4167,17.6,8.425561584,3,3,224,0.01,0.27,25.11,0.10,1.42
TC,24,int,3,870,3,89,0.89,2.94,8500,23.7,21.19504085,2,2,203,0.04,1.17,29.38,0.34,1.48
TC,25,int,6,800,2,67,0.95,2.56,7167,8.0,7.623764393,2,2,214,0.03,1.29,36.06,0.36,1.57
TC,26,int,4,787,2,81,0.97,2.7,6500,9.9,9.619139261,1,1,142,0.03,0.96,32.85,0.29,1.53
TC,27,int,5,790,1,73,0.74,2.6,9833,7.4,5.487771579,0,7,115,0.15,4.87,32.59,0.77,1.53
TC,29,int,2,628,3,91,0.12,3,4333,22.8,2.737279404,0,7,35,0.17,1.07,6.14,0.32,0.85
DC,30,treeline,3,550,3,40,1.00,2.1,111,0.1,0.1,3,3,190,0.06,0.65,9.08,0.22,1.00
DC,31,treeline,2,550,3,61,0.90,2.64,1833,10.7,9.59933403,2,2,178,0.03,3.79,109.97,0.68,2.05
DC,34,treeline,3,565,1,50,1.00,1.94,167,0.1,0.1,2,2,384,0.10,0.53,3.21,0.19,0.62
DC,35,int,5,520,2,84,0.89,2.38,6333,1.9,1.712026757,0,0,23,0.11,16.50,139.07,1.22,2.17
DC,37,int,6,390,1,76,0.00,2.21,3333,28.3,0,2,2,83,0.20,8.41,37.70,1.07,1.73
DC,39,int,5,300,3,88,0.45,2.76,13833,7.8,3.526907999,2,2,201,0.08,5.92,76.12,0.84,1.89
DC,40,int,4,280,1,89,0.00,2.48,6000,9.5,0,1,2,799,0.16,1.51,9.62,0.40,1.03
DC,42,int,5,260,4,99,0.02,2.95,7333,7.8,0.185366071,2,3,445,0.00,0.24,4.14,0.00,0.26
DC,44,int,3,250,2,88,0.88,2.65,12333,6.1,5.436880061,1,1,138,0.23,26.28,78.44,0.89,1.43
DC,46,int,2,220,2,66,0.79,2.25,8000,12.1,9.615827404,1,1,60,0.26,45.13,146.90,1.45,2.04
DC,49,int,5,220,2,44,0.77,1.94,12000,5.6,4.300684974,0,1,284,0.22,7.18,24.88,0.69,1.26
DC,51,int,1,230,3,79,1.00,2.45,1167,3.5,3.51078333,2,2,154,0.08,14.03,93.66,0.84,1.83
DC,53,int,2,206,5,87,0.25,2.85,5333,26.7,6.68718625,1,2,113,0.04,2.21,30.13,0.56,1.58
DC,54,int,3,135,5,98,0.97,3,22833,9.2,8.91250575,3,3,305,0.04,0.64,13.12,0.10,0.85
BF,61,int,6,695,1,59,0.90,2.73,5000,8.3,7.451574003,2,2,58,0.02,1.24,34.72,0.24,1.66
BF,62,int,3,720,1,43,0.88,2.48,2833,9.4,8.253949375,0,4,227,0.14,3.53,25.91,0.78,1.52
BF,63,int,2,770,1,29,0.95,2.2,3667,8.0,7.653289321,0,5,484,0.07,2.64,37.13,0.60,1.68
BF,76,int,1,255,1,28,0.91,2.2,1833,4.4,3.975787882,1,2,124,0.16,2.41,17.41,0.64,1.33
BF,78,int,5,240,1,71,0.48,,3500,2.3,1.102552381,1,1,52,0.29,4.27,15.85,0.82,1.20
BF,79,int,5,250,2,59,0.00,2.74,4500,5.7,0,0,0,62,0.13,0.42,3.77,0.20,0.76
BF,81,int,4,260,4,68,0.34,2.58,5000,2.3,0.778142528,3,3,146,0.15,0.79,7.96,0.33,0.95
BF,84,int,6,240,1,44,0.89,2.23,3000,3.1,2.745991111,1,1,91,0.30,19.96,71.87,1.48,1.94
BF,86,int,2,250,5,85,0.43,2.82,13500,9.1,3.8487575,3,3,93,0.05,3.45,77.27,0.65,1.81
BF,87,int,2,235,3,67,0.07,2.72,2500,16.0,1.143044164,2,2,34,0.07,1.23,12.55,0.37,1.29
BF,91,treeline,3,819,1,22,1.00,,500,0.1,0.1,3,3,299,0.12,1.29,7.48,0.26,0.89
BF,92,treeline,4,688,1,11,1.00,,1833,2.3,2.269800692,2,2,232,0.07,0.81,8.55,0.19,0.76
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
