Year,Site,Zone,Plot,Quadrat_Area,Flag_Quadrat_Area,Plot_Disturbance,Percent_Calculated_Biomass,Flag_Percent_Calculated_Biomass,Num_Plant_Biomass_m2,Flag_Num_Plant_Biomass_m2,Min_Plant_Biomass_m2,Flag_Min_Plant_Biomass_m2,Max_Plant_Biomass_m2,Flag_Max_Plant_Biomass_m2,Total_Plant_Biomass_m2,Flag_Total_Plant_Biomass_m2,Mean_Plant_Biomass_m2,Flag_Mean_Plant_Biomass_m2,StdDev_Plant_Biomass_m2,Flag_StdDev_Plant_Biomass_m2,SE_Plant_Biomass_m2,Flag_SE_Plant_Biomass_m2
2000,1,1,1,0.25,,0,100,,23,,0.97,,58.91,,516.33,,22.449,,14.81,,3.0882,
2000,1,1,2,0.25,,0,100,,13,,3.38,,46.29,,324.46,,24.959,,13.156,,3.6489,
2000,1,1,3,0.25,,0,100,,21,,0.97,,58.91,,464.64,,22.126,,20.2,,4.4079,
2000,1,1,4,0.25,,0,100,,19,,3.38,,96.27,,794.16,,41.798,,34.765,,7.9756,
2000,1,1,5,0.25,,0,100,,20,,2.01,,113.46,,674.37,,33.718,,34.502,,7.7149,
2000,1,1,6,0.25,,0,100,,23,,2.01,,88.15,,993.87,,43.212,,26.94,,5.6174,
2000,1,1,7,0.25,,0,100,,20,,2.01,,113.46,,1078.01,,53.9,,43.019,,9.6194,
2000,1,1,8,0.25,,0,100,,20,,0.97,,96.27,,677.31,,33.866,,30.242,,6.7624,
2000,1,2,1,0.0625,,0,100,,14,,7.29,,27.81,,246.53,,17.609,,7.027,,1.8781,
2000,1,2,2,0.0625,,0,100,,26,,5.32,,24.21,,428.2,,16.469,,4.667,,0.9153,
2000,1,2,3,0.0625,,0,100,,29,,9.52,,31.61,,572.18,,19.731,,5.88,,1.0918,
2000,1,2,4,0.0625,,0,100,,18,,7.29,,24.21,,280.57,,15.587,,5.44,,1.2822,
2000,1,2,5,0.0625,,0,100,,27,,9.52,,27.81,,454.06,,16.817,,4.827,,0.929,
2000,1,2,6,0.0625,,0,100,,32,,9.52,,24.21,,546.24,,17.07,,3.624,,0.6407,
2000,1,2,7,0.0625,,0,100,,17,,12,,24.21,,318.68,,18.746,,4.054,,0.9833,
2000,1,2,8,0.0625,,0,100,,23,,9.52,,27.81,,447.9,,19.474,,4.178,,0.8712,
2000,2,1,1,0.25,,0,100,,21,,32.18,,73.5,,1152.4,,54.876,,11.539,,2.5181,
2000,2,1,2,0.25,,0,100,,14,,46.83,,88.9,,824.82,,58.916,,10.879,,2.9076,
2000,2,1,3,0.25,,0,100,,15,,15.08,,105.65,,829.36,,55.291,,25.155,,6.495,
2000,2,1,4,0.25,,0,100,,15,,73.5,,117.56,,1409.46,,93.964,,12.708,,3.2812,
2000,2,1,5,0.25,,0,100,,22,,55.1,,117.56,,2109.3,,95.877,,14.612,,3.1153,
2000,2,1,6,0.25,,0,100,,24,,10.73,,83.61,,1263.67,,52.653,,17.942,,3.6623,
2000,2,1,7,0.25,,0,100,,22,,39.19,,117.56,,1668.76,,75.853,,19.218,,4.0973,
2000,2,1,8,0.25,,0,100,,19,,10.73,,156.81,,1383.36,,72.808,,43.619,,10.0068,
2000,2,2,1,0.0625,,0,100,,22,,1.21,,18.56,,190.91,,8.678,,5.778,,1.2318,
2000,2,2,2,0.0625,,0,100,,17,,1.21,,58.84,,197.36,,11.609,,13.46,,3.2645,
2000,2,2,3,0.0625,,0,100,,22,,1.21,,18.56,,95.66,,4.348,,3.936,,0.8392,
2000,2,2,4,0.0625,,0,100,,15,,1.75,,72.67,,174.2,,11.613,,17.678,,4.5645,
2000,2,2,5,0.0625,,0,100,,21,,1.75,,59.11,,263.48,,12.546,,15.083,,3.2914,
2000,2,2,6,0.0625,,0,100,,16,,1.21,,50.48,,199.17,,12.448,,17.63,,4.4074,
2000,2,2,7,0.0625,,0,100,,9,,1.21,,42.63,,116.05,,12.894,,13.022,,4.3408,
2000,2,2,8,0.0625,,0,100,,9,,2.4,,73.55,,225.01,,25.002,,22.323,,7.4409,
2000,3,1,1,0.25,,0,100,,20,,6.59,,47.27,,710.38,,35.519,,12.271,,2.7439,
