"Data set title: Steven C. Pennings. 2017. Disturbance to permanent monitoring plots at GCE sites 1-10, from 2001 to 2022.. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCEM-1801; /data/PLT-GCEM-1801)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Year","Month","Day","Site","Zone","Plot","Location","Flag_Location","Location_Notes","Longitude","Flag_Longitude","Latitude","Flag_Latitude","Condition","Observation","Replacement","Notes"
"YYYY","MM","DD","none","none","none","none","none","none","degrees","none","degrees","none","none","none","none","none"
"datetime","datetime","datetime","code","code","nominal","nominal","code","text","coord","code","coord","code","code","code","nominal","text"
2001,10,5,6,1,1,"GCE6_CB1","","",-81.279792,"",31.388423,"","N","",,""
2001,10,5,6,1,2,"GCE6_CB22","E","location estimated based on locations of 2 replacement plots within approximately 6m",-81.279818,"E",31.388295,"E","N","",,""
2001,10,5,6,1,3,"GCE6_CB23","E","location estimated based on locations of 2 replacement plots within approximately 6m",-81.279902,"E",31.388213,"E","L","TS",13,""
2001,10,5,6,1,4,"GCE6_CB34","E","location estimated based on locations of 3 replacement plots within approximately 9m",-81.279872,"E",31.388004,"E","D","IS",,""
2001,10,5,6,1,5,"GCE6_CB15","E","location estimated based on location of a single replacement plot within approximately 3m",-81.279761,"E",31.387860,"E","N","",,""
2001,10,5,6,1,6,"GCE6_CB6","","",-81.279730,"",31.387745,"","N","",,""
2001,10,5,6,1,7,"GCE6_CB7","","",-81.279841,"",31.387611,"","N","",,""
2001,10,5,6,1,8,"GCE6_CB8","","",-81.279966,"",31.387549,"","N","",,""
2001,10,5,6,2,1,"GCE6_MM1","","",-81.280132,"",31.388340,"","N","",,""
2001,10,5,6,2,2,"GCE6_MM2","","",-81.280117,"",31.388206,"","N","",,""
2001,10,5,6,2,3,"GCE6_MM3","","",-81.280137,"",31.388071,"","N","",,""
2001,10,5,6,2,4,"GCE6_MM4","","",-81.280220,"",31.387957,"","N","",,""
2001,10,5,6,2,5,"GCE6_MM5","","",-81.280299,"",31.387844,"","N","",,""
2001,10,5,6,2,6,"GCE6_MM6","","",-81.280418,"",31.387748,"","N","",,""
2001,10,5,6,2,7,"GCE6_MM7","","",-81.280536,"",31.387640,"","N","",,""
2001,10,5,6,2,8,"GCE6_MM8","","",-81.280655,"",31.387539,"","N","",,""
2001,10,8,4,1,1,"GCE4_CB1","","",-81.365498,"",31.451676,"","N","",,""
2001,10,8,4,1,2,"GCE4_CB12","E","location estimated based on location of a single replacement plot within approximately 3m",-81.365560,"E",31.451548,"E","N","",,""
2001,10,8,4,1,3,"GCE4_CB3","","",-81.365566,"",31.451473,"","N","",,""
2001,10,8,4,1,4,"GCE4_CB4","","",-81.365579,"",31.451373,"","N","",,""
2001,10,8,4,1,5,"GCE4_CB15","E","location estimated based on location of a single replacement plot within approximately 3m",-81.366132,"E",31.451197,"E","N","",,""
2001,10,8,4,1,6,"GCE4_CB26","E","location estimated based on locations of 2 replacement plots within approximately 6m",-81.366163,"E",31.451281,"E","N","",,""
2001,10,8,4,1,7,"GCE4_CB17","E","location estimated based on location of a single replacement plot within approximately 3m",-81.366276,"E",31.451372,"E","N","",,""
2001,10,8,4,1,8,"GCE4_CB8","","",-81.366297,"",31.451478,"","N","",,""
2001,10,8,4,2,1,"GCE4_MM1","","",-81.365523,"",31.452632,"","N","",,""
2001,10,8,4,2,2,"GCE4_MM2","","",-81.365513,"",31.452485,"","N","",,""
2001,10,8,4,2,3,"GCE4_MM3","","",-81.365555,"",31.452363,"","N","",,""
2001,10,8,4,2,4,"GCE4_MM4","","",-81.365620,"",31.452232,"","N","",,""
2001,10,8,4,2,5,"GCE4_MM5","","",-81.365700,"",31.452099,"","N","",,""
2001,10,8,4,2,6,"GCE4_MM6","","",-81.365795,"",31.451995,"","N","",,""
2001,10,8,4,2,7,"GCE4_MM7","","",-81.365892,"",31.451893,"","N","",,""
