Date,Block,Plot,Leaves (in g),Wood (in g),Misc (in g),Fruits;seeds;flower (g),Days since last collec.,New palm frond (in m),Remarks
2002-11-14,A,1,15.04,1.32,3.84,3.34,0,0,No palm fronds collected. All material was dried at 40 centigrades.
2002-11-14,A,2,16.23,4.86,2.98,10.42,0,0,this sampling period. All material was dried at 40 centigrades.
2002-11-14,A,3,21.53,0.86,1.79,0.87,0,0.3,All material was dried at 40 centigrades.
2002-11-14,A,4,18.44,1.76,2.59,3.73,0,0,All material was dried at 40 centigrades.
2002-11-14,B,1,60.23,10.55,3.63,3.38,0,0,All material was dried at 40 centigrades.
2002-11-14,B,2,22.69,12.8,5.87,5.06,0,0,All material was dried at 40 centigrades.
2002-11-14,B,3,30.02,4.27,3.1,5.83,0,0.1,All material was dried at 40 centigrades.
2002-11-14,B,4,12.14,2.3,2.33,4.78,0,0.7,All material was dried at 40 centigrades.
2002-11-14,C,1,26.06,1.67,3.2,1.35,0,0,All material was dried at 40 centigrades.
2002-11-14,C,2,23.34,4.2,5.28,2.59,0,0.3,All material was dried at 40 centigrades.
2002-11-14,C,3,25.03,4.55,5.86,6.08,0,0.5,All material was dried at 40 centigrades.
2002-11-14,C,4,22.11,4.18,6.61,8.46,0,0,All material was dried at 40 centigrades.
2002-11-27,A,1,14.85,1.35,1.07,16.81,16,0.09,All material was dried at 40 centigrades.
2002-11-27,A,2,16.75,2.55,2.33,6.39,16,0,All material was dried at 40 centigrades.
2002-11-27,A,3,19.8,1.46,0.7,0.44,16,0,All material was dried at 40 centigrades.
2002-11-27,A,4,15.87,5.14,3.05,6.62,16,0,All material was dried at 40 centigrades.
2002-11-27,B,1,56.8,1.52,1.55,2.08,16,0,All material was dried at 40 centigrades.
2002-11-27,B,2,28.49,4.88,3.73,3.56,16,0,All material was dried at 40 centigrades.
2002-11-27,B,3,25.37,5.68,8.38,4.39,16,0.2,All material was dried at 40 centigrades.
2002-11-27,B,4,9.69,1.61,1.03,3.15,16,0,All material was dried at 40 centigrades.
2002-11-27,C,1,18.06,6.5,1.74,2.23,16,1,All material was dried at 40 centigrades.
2002-11-27,C,2,35.1,188.62,2.84,5.67,16,0,All material was dried at 40 centigrades.
2002-11-27,C,3,22.57,5.6,1.88,6.4,16,0,All material was dried at 40 centigrades.
2002-11-27,C,4,23.92,2.45,2.06,3.64,16,0,All material was dried at 40 centigrades.
2002-12-12,A,1,12.47,1.8,1.84,22.88,15,0.05,All material was dried at 40 centigrades.
2002-12-12,A,2,56.95,6.18,3.33,7.64,15,0.05,All material was dried at 40 centigrades.
2002-12-12,A,3,21.84,3.51,2.25,3.37,15,0.05,All material was dried at 40 centigrades.
2002-12-12,A,4,123.25,18.43,4.23,4.23,15,1.55,All material was dried at 40 centigrades.
2002-12-12,B,1,25.38,3.33,3.08,4.92,15,0,All material was dried at 40 centigrades.
2002-12-12,B,2,39.24,11.05,4.81,7.72,15,0,All material was dried at 40 centigrades.
2002-12-12,B,3,29.51,34.84,5.36,10.57,15,0,All material was dried at 40 centigrades.
2002-12-12,B,4,14.01,2.1,2.2,5.62,15,0,All material was dried at 40 centigrades.
2002-12-12,C,1,24.73,4.74,4.39,1.52,15,0,All material was dried at 40 centigrades.
2002-12-12,C,2,16,2.3,4.45,4.32,15,0.9,All material was dried at 40 centigrades.
2002-12-12,C,3,27.73,3.03,4.11,3.39,15,0,All material was dried at 40 centigrades.
2002-12-12,C,4,27.47,3.69,3.14,5.13,15,0.2,All material was dried at 40 centigrades.
2002-12-24,A,1,16.38,4.28,2.7,11.59,12,1.38,All material was dried at 40 centigrades.
2002-12-24,A,2,15.31,0.47,0.99,3.44,12,3.3,All material was dried at 40 centigrades.
2002-12-24,A,3,18.6,3.54,2.04,1.45,12,2,All material was dried at 40 centigrades.
2002-12-24,A,4,9.32,1.34,2.19,6.08,12,1.7,All material was dried at 40 centigrades.
2002-12-24,B,1,9.47,4.28,1.84,4.8,12,3.61,All material was dried at 40 centigrades.
2002-12-24,B,2,12.08,3.65,3.21,3.33,12,0,All material was dried at 40 centigrades.
2002-12-24,B,3,15.88,2.11,3.88,5.91,12,10.22,All material was dried at 40 centigrades.
2002-12-24,B,4,7.11,2.54,0.32,6.91,12,3.95,All material was dried at 40 centigrades.
2002-12-24,C,1,16.02,9.35,4.16,0.81,12,8.23,All material was dried at 40 centigrades.
2002-12-24,C,2,12.99,13.8,1.23,13.64,12,3.12,All material was dried at 40 centigrades.
2002-12-24,C,3,17.74,2.45,2.29,3.64,12,0,All material was dried at 40 centigrades.
2002-12-24,C,4,16.88,1.79,3.44,2.79,12,1.12,All material was dried at 40 centigrades.
2003-01-09,A,1,13.45,4.94,1.37,3.43,12,0,All material was dried at 40 centigrades.
2003-01-09,A,2,18.53,1.08,0.9,13.09,12,0,All material was dried at 40 centigrades.
2003-01-09,A,3,19.06,7.74,1.69,0.5,12,0,All material was dried at 40 centigrades.
2003-01-09,A,4,12.56,2.55,1.67,3.71,12,0,All material was dried at 40 centigrades.
2003-01-09,B,1,14.83,6.81,3.95,3.97,12,0,All material was dried at 40 centigrades.
2003-01-09,B,2,22.63,5.93,4.15,3.76,12,0,All material was dried at 40 centigrades.
2003-01-09,B,3,39.21,11.83,4.89,18.45,12,1.25,All material was dried at 40 centigrades.
2003-01-09,B,4,10.62,1.45,2.18,4.4,12,0.5,All material was dried at 40 centigrades.
2003-01-09,C,1,28.01,13.24,6.27,4.61,12,1,All material was dried at 40 centigrades.
2003-01-09,C,2,8.25,12.61,2.1,3.94,12,0.65,All material was dried at 40 centigrades.
2003-01-09,C,3,26.05,171.56,5.55,4.15,12,0,All material was dried at 40 centigrades.
2003-01-09,C,4,18.19,7.03,2.25,13.35,12,0,All material was dried at 40 centigrades.
2003-01-22,A,1,17.46,3.68,2.53,5.04,13,6.75,All material was dried at 40 centigrades.
2003-01-22,A,2,17.77,5.17,2.73,1.76,13,8.8,All material was dried at 40 centigrades.
2003-01-22,A,3,17.97,9.61,2.37,2.34,13,2.5,All material was dried at 40 centigrades.
2003-01-22,A,4,21.87,3.58,1.16,1.16,13,1,All material was dried at 40 centigrades.
2003-01-22,B,1,22.3,6.38,4.42,3.65,13,6.4,All material was dried at 40 centigrades.
