BLOCK,PLOT,SUBPLOT,Latitude,Longitude,TREATMENT
A,1,1,18.32393311,-65.81827301,Control
A,1,2,18.32393311,-65.81827301,Control
A,1,3,18.32393311,-65.81827301,Control
A,1,4,18.32393311,-65.81827301,Control
A,1,5,18.32393311,-65.81827301,Control
A,1,6,18.32393311,-65.81827301,Control
A,1,7,18.32393311,-65.81827301,Control
A,1,8,18.32393311,-65.81827301,Control
A,1,9,18.32393311,-65.81827301,Control
A,1,10,18.32393311,-65.81827301,Control
A,1,11,18.32393311,-65.81827301,Control
A,1,12,18.32393311,-65.81827301,Control
A,1,13,18.32393311,-65.81827301,Control
A,1,14,18.32393311,-65.81827301,Control
A,1,15,18.32393311,-65.81827301,Control
A,1,16,18.32393311,-65.81827301,Control
A,2,1,18.32398633,-65.81772155,Trim&clear
A,2,2,18.32398633,-65.81772155,Trim&clear
A,2,3,18.32398633,-65.81772155,Trim&clear
A,2,4,18.32398633,-65.81772155,Trim&clear
A,2,5,18.32398633,-65.81772155,Trim&clear
A,2,6,18.32398633,-65.81772155,Trim&clear
A,2,7,18.32398633,-65.81772155,Trim&clear
A,2,8,18.32398633,-65.81772155,Trim&clear
A,2,9,18.32398633,-65.81772155,Trim&clear
A,2,10,18.32398633,-65.81772155,Trim&clear
A,2,11,18.32398633,-65.81772155,Trim&clear
A,2,12,18.32398633,-65.81772155,Trim&clear
A,2,13,18.32398633,-65.81772155,Trim&clear
A,2,14,18.32398633,-65.81772155,Trim&clear
A,2,15,18.32398633,-65.81772155,Trim&clear
A,2,16,18.32398633,-65.81772155,Trim&clear
A,3,1,18.32478909,-65.81785405,Trim+Debris
A,3,2,18.32478909,-65.81785405,Trim+Debris
A,3,3,18.32478909,-65.81785405,Trim+Debris
A,3,4,18.32478909,-65.81785405,Trim+Debris
A,3,5,18.32478909,-65.81785405,Trim+Debris
A,3,6,18.32478909,-65.81785405,Trim+Debris
A,3,7,18.32478909,-65.81785405,Trim+Debris
A,3,8,18.32478909,-65.81785405,Trim+Debris
A,3,9,18.32478909,-65.81785405,Trim+Debris
A,3,10,18.32478909,-65.81785405,Trim+Debris
A,3,11,18.32478909,-65.81785405,Trim+Debris
A,3,12,18.32478909,-65.81785405,Trim+Debris
A,3,13,18.32478909,-65.81785405,Trim+Debris
A,3,14,18.32478909,-65.81785405,Trim+Debris
A,3,15,18.32478909,-65.81785405,Trim+Debris
A,3,16,18.32478909,-65.81785405,Trim+Debris
A,4,1,18.32447031,-65.81749598,NoTrim+Debris
A,4,2,18.32447031,-65.81749598,NoTrim+Debris
A,4,3,18.32447031,-65.81749598,NoTrim+Debris
A,4,4,18.32447031,-65.81749598,NoTrim+Debris
A,4,5,18.32447031,-65.81749598,NoTrim+Debris
A,4,6,18.32447031,-65.81749598,NoTrim+Debris
A,4,7,18.32447031,-65.81749598,NoTrim+Debris
A,4,8,18.32447031,-65.81749598,NoTrim+Debris
A,4,9,18.32447031,-65.81749598,NoTrim+Debris
A,4,10,18.32447031,-65.81749598,NoTrim+Debris
A,4,11,18.32447031,-65.81749598,NoTrim+Debris
A,4,12,18.32447031,-65.81749598,NoTrim+Debris
A,4,13,18.32447031,-65.81749598,NoTrim+Debris
A,4,14,18.32447031,-65.81749598,NoTrim+Debris
A,4,15,18.32447031,-65.81749598,NoTrim+Debris
A,4,16,18.32447031,-65.81749598,NoTrim+Debris
B,1,1,18.3214898,-65.81407121,Control
B,1,2,18.3214898,-65.81407121,Control
B,1,3,18.3214898,-65.81407121,Control
B,1,4,18.3214898,-65.81407121,Control
B,1,5,18.3214898,-65.81407121,Control
B,1,6,18.3214898,-65.81407121,Control
B,1,7,18.3214898,-65.81407121,Control
B,1,8,18.3214898,-65.81407121,Control
B,1,9,18.3214898,-65.81407121,Control
B,1,10,18.3214898,-65.81407121,Control
B,1,11,18.3214898,-65.81407121,Control
B,1,12,18.3214898,-65.81407121,Control
B,1,13,18.3214898,-65.81407121,Control
B,1,14,18.3214898,-65.81407121,Control
B,1,15,18.3214898,-65.81407121,Control
B,1,16,18.3214898,-65.81407121,Control
B,2,1,18.32137867,-65.81358509,Trim+Debris
B,2,2,18.32137867,-65.81358509,Trim+Debris
B,2,3,18.32137867,-65.81358509,Trim+Debris
B,2,4,18.32137867,-65.81358509,Trim+Debris
B,2,5,18.32137867,-65.81358509,Trim+Debris
B,2,6,18.32137867,-65.81358509,Trim+Debris
B,2,7,18.32137867,-65.81358509,Trim+Debris
B,2,8,18.32137867,-65.81358509,Trim+Debris
B,2,9,18.32137867,-65.81358509,Trim+Debris
B,2,10,18.32137867,-65.81358509,Trim+Debris
B,2,11,18.32137867,-65.81358509,Trim+Debris
B,2,12,18.32137867,-65.81358509,Trim+Debris
B,2,13,18.32137867,-65.81358509,Trim+Debris
B,2,14,18.32137867,-65.81358509,Trim+Debris
B,2,15,18.32137867,-65.81358509,Trim+Debris
B,2,16,18.32137867,-65.81358509,Trim+Debris
B,3,1,18.32078568,-65.81322875,NoTrim+Debris
B,3,2,18.32078568,-65.81322875,NoTrim+Debris
B,3,3,18.32078568,-65.81322875,NoTrim+Debris
B,3,4,18.32078568,-65.81322875,NoTrim+Debris
B,3,5,18.32078568,-65.81322875,NoTrim+Debris
B,3,6,18.32078568,-65.81322875,NoTrim+Debris
B,3,7,18.32078568,-65.81322875,NoTrim+Debris
B,3,8,18.32078568,-65.81322875,NoTrim+Debris
B,3,9,18.32078568,-65.81322875,NoTrim+Debris
B,3,10,18.32078568,-65.81322875,NoTrim+Debris
B,3,11,18.32078568,-65.81322875,NoTrim+Debris
B,3,12,18.32078568,-65.81322875,NoTrim+Debris
B,3,13,18.32078568,-65.81322875,NoTrim+Debris
B,3,14,18.32078568,-65.81322875,NoTrim+Debris
B,3,15,18.32078568,-65.81322875,NoTrim+Debris
B,3,16,18.32078568,-65.81322875,NoTrim+Debris
B,4,1,18.32023165,-65.81269343,Trim&clear
B,4,2,18.32023165,-65.81269343,Trim&clear
B,4,3,18.32023165,-65.81269343,Trim&clear
B,4,4,18.32023165,-65.81269343,Trim&clear
B,4,5,18.32023165,-65.81269343,Trim&clear
B,4,6,18.32023165,-65.81269343,Trim&clear
B,4,7,18.32023165,-65.81269343,Trim&clear
B,4,8,18.32023165,-65.81269343,Trim&clear
B,4,9,18.32023165,-65.81269343,Trim&clear
B,4,10,18.32023165,-65.81269343,Trim&clear
B,4,11,18.32023165,-65.81269343,Trim&clear
B,4,12,18.32023165,-65.81269343,Trim&clear
B,4,13,18.32023165,-65.81269343,Trim&clear
B,4,14,18.32023165,-65.81269343,Trim&clear
B,4,15,18.32023165,-65.81269343,Trim&clear
B,4,16,18.32023165,-65.81269343,Trim&clear
C,1,1,18.32257391,-65.81354996,NoTrim+Debris
C,1,2,18.32257391,-65.81354996,NoTrim+Debris
C,1,3,18.32257391,-65.81354996,NoTrim+Debris
C,1,4,18.32257391,-65.81354996,NoTrim+Debris
C,1,5,18.32257391,-65.81354996,NoTrim+Debris
C,1,6,18.32257391,-65.81354996,NoTrim+Debris
C,1,7,18.32257391,-65.81354996,NoTrim+Debris
C,1,8,18.32257391,-65.81354996,NoTrim+Debris
C,1,9,18.32257391,-65.81354996,NoTrim+Debris
C,1,10,18.32257391,-65.81354996,NoTrim+Debris
C,1,11,18.32257391,-65.81354996,NoTrim+Debris
C,1,12,18.32257391,-65.81354996,NoTrim+Debris
C,1,13,18.32257391,-65.81354996,NoTrim+Debris
C,1,14,18.32257391,-65.81354996,NoTrim+Debris
C,1,15,18.32257391,-65.81354996,NoTrim+Debris
