START_DATE,BLOCK,PLOT,SEEDLINGPLOT,SECTION,LITTER,LIVE_TRUNK,DEAD_TRUNK,OTHERS,BARE_ROCK,BARE_SOIL,GRASS,GRASS_TOTAL_HT,WOOD_lt5CM,LITTERDEPTHCORNER1,LITTERDEPTHCORNER2,LITTERDEPTHCORNER3,LITTERDEPTHCORNER4,COMMENTS
2003-06-01,A,1,1,1,76,3,0,,0,20,1,17,4,1,3,3,4,
2003-06-01,A,1,1,2,85,1,0,,0,13,1,6,1,2,5,4,2,
2003-06-01,A,1,1,3,86,2,0,,9,2,1,5,3,3,3,4,1,
2003-06-01,A,1,2,1,87,1,0,,10,1,1,9,1,4,3,3,4,
2003-06-01,A,1,2,2,85,1,11,,0,2,1,10,3,1,2,7,2,
2003-06-01,A,1,2,3,,2,0,,5,2,1,7,6,7,3,2,7,
2003-06-01,A,1,3,1,73,6,0,,0,20,1,6,2,2,2,2,1,
2003-06-01,A,1,3,2,40,10,0,,42,7,1,6,1,5,4,2,2,
2003-06-01,A,1,3,3,56,25,10,,0,8,1,5,2,1,7,1,3,
2003-06-01,A,1,4,1,88,1,10,,0,10,1,15,1,2,4,1,3,
2003-06-01,A,1,4,2,93,1,0,,0,6,1,5,0,2,1,3,4,
2003-06-01,A,1,4,3,84,3,0,,0,12,1,12,1,2,3,0,3,
2003-06-01,A,1,5,1,73,16,0,,8,2,1,9,4,1,0,2,5,
2003-06-01,A,1,5,2,51,35,0,,5,6,3,18,2,2,1,3,2,
2003-06-01,A,1,5,3,67,8,0,,16,7,2,15,2,,,,,
2003-06-01,A,2,1,1,26,5,0,,7,62,0,0,3,1,0,0,2,
2003-06-01,A,2,1,2,42,2,3,,50,3,0,,5,2,1,1,3,
2003-06-01,A,2,1,3,29,8,17,,25,20,1,20,5,0,0,3,1,
2003-06-01,A,2,2,1,74,2,0,,20,3,1,18,1,4,4,4,1,
2003-06-01,A,2,2,2,75,6,10,,2,6,1,12,5,1,1,2,2,
2003-06-01,A,2,2,3,91,3,0,,0,3,3,21,3,2,2,2,2,
2003-06-01,A,2,3,1,71,1,0,,26,2,0,0,5,1,1,2,2,
2003-06-01,A,2,3,2,67,9,0,,15,8,0,,1,4,3,2,7,
2003-06-01,A,2,3,3,74,3,0,,12,10,1,8,15,0,1,2,2,
2003-06-01,A,2,4,1,29,3,0,,50,8,10,20,3,4,4,0,1,
2003-06-01,A,2,4,2,85,4,0,,2,6,3,20,6,1,3,7,1,
2003-06-01,A,2,4,3,13,6,0,,75,2,4,20,0,2,1,1,0,
2003-06-01,A,2,5,1,85,10,0,,0,5,10,26,5,3,0,2,2,
2003-06-01,A,2,5,2,62,6,0,,22,7,3,12,5,3,5,5,2,
